/*
PREFACE:  
Copyright 2010 Beth Randall
Date:  Fri Jan 14 13:27:46 CET 2022

command file:     verblex_perfect.q
output file:      verblex_perfect.out

Lexicon:  
*/

/*  ~A~  */
cumen 9: [9 VBN] 
cumene 1: [1 VBN] 
cumenn 39: [39 VBN] 
cumpassid 1: [1 VBN] 
cured 1: [1 VBN] 
cursed 1: [1 VBN] 
cursid 1: [1 VBN] 
curyd 1: [1 VBN] 
cwemmd 1: [1 VBN] 
cwiddedd 3: [3 VBN] 
/*  ~D~  */
d+aledd 1: [1 VBN] 
dalyed 1: [1 VBN] 
dampned 2: [2 VBN] 
de-fouled 1: [1 VBN] 
deceyved 2: [2 VBN] 
declared 2: [2 VBN] 
declarid 2: [2 VBN] 
decresed 1: [1 VBN] 
deemed 1: [1 VBN] 
defended 2: [2 VBN] 
defendede 1: [1 VBN] 
defouled 4: [4 VBN] 
defowled 1: [1 VBN] 
defoyled 1: [1 VBN] 
defyed 1: [1 VBN] 
delayed 1: [1 VBN] 
deled 1: [1 VBN] 
delivered 1: [1 VBN] 
delyuerde 2: [2 VBN] 
delyuered 4: [4 VBN] 
delyuerede 1: [1 VBN] 
delyverde 2: [2 VBN] 
delyvered 1: [1 VBN] 
departed 8: [8 VBN] 
departede 3: [3 VBN] 
departid 1: [1 VBN] 
departyd 2: [2 VBN] 
depeint 1: [1 VBN] 
deposed 2: [2 VBN] 
descended 1: [1 VBN] 
desceyuede 3: [3 VBN] 
descomfitede 1: [1 VBN] 
descriued 1: [1 VBN] 
deserued 3: [3 VBN] 
deseruede 2: [2 VBN] 
deseruid 1: [1 VBN] 
deseruyd $deseruyd 6: [6 VBN] 
deserved 4: [4 VBN] 
deservede 1: [1 VBN] 
deservyd 1: [1 VBN] 
desesyd 1: [1 VBN] 
desired Desired 4: [4 VBN] 
desirede 1: [1 VBN] 
despended 2: [2 VBN] 
despendede 1: [1 VBN] 
despised 2: [2 VBN] 
despisyd 1: [1 VBN] 
despysed 1: [1 VBN] 
desservid 2: [2 VBN] 
desseyuede 1: [1 VBN] 
destriued 1: [1 VBN] 
destroiede 2: [2 VBN] 
destroyed 12: [12 VBN] 
destroyede 1: [1 VBN] 
destruyede 1: [1 VBN] 
destryed 1: [1 VBN] 
desyred 2: [2 VBN] 
desyrede 1: [1 VBN] 
desyryd 1: [1 VBN] 
determined 1: [1 VBN] 
deuisid 1: [1 VBN] 
deuoured 2: [2 VBN] 
devised 2: [2 VBN] 
devoured 1: [1 VBN] 
devysed 1: [1 VBN] 
deyd 5: [5 VBN] 
deyid 1: [1 VBN] 
deyuered 1: [1 VBN] 
dilyuered 1: [1 VBN] 
disclaundred 1: [1 VBN] 
discolurd 1: [1 VBN] 
discomfite 1: [1 VBN] 
discriued 1: [1 VBN] 
diserued 1: [1 VBN] 
diseruede 1: [1 VBN] 
disheryte 1: [1 VBN] 
dismembryd 1: [1 VBN] 
dispendet 1: [1 VBN] 
dispendid 1: [1 VBN] 
dispensyd 1: [1 VBN] 
dispised 2: [2 VBN] 
dispisid 1: [1 VBN] 
displeased 1: [1 VBN] 
displesyd 1: [1 VBN] 
disponyd 1: [1 VBN] 
disposed 1: [1 VBN] 
disserued 4: [4 VBN] 
disserved 4: [4 VBN] 
disservid 1: [1 VBN] 
disseryud 1: [1 VBN] 
dissesede 1: [1 VBN] 
distressid 1: [1 VBN] 
distroied 1: [1 VBN] 
distroublid 1: [1 VBN] 
distroyed 3: [3 VBN] 
distroyede 1: [1 VBN] 
distruied 1: [1 VBN] 
distryed 1: [1 VBN] 
distynktet 1: [1 VBN] 
do 56: [56 DON] 
don 147: [147 DON] 
done 112: [112 DON] 
donne 4: [4 DON] 
doo 5: [5 DON] 
doon 39: [39 DON] 
drawen 6: [6 VBN] 
drawyn 4: [4 VBN] 
dre+gen 1: [1 VBN] 
dressid 1: [1 VBN] 
dreuyn 1: [1 VBN] 
drif 1: [1 VBN] 
drokyn 1: [1 VBN] 
drongken 2: [2 VBN] 
dronke 3: [3 VBN] 
dronken 2: [2 VBN] 
dronkyn 1: [1 VBN] 
droppid 1: [1 VBN] 
drowned 1: [1 VBN] 
drunkyn 1: [1 VBN] 
dryuen 6: [6 VBN] 
dryuyn 1: [1 VBN] 
dryven 1: [1 VBN] 
duellede 6: [6 VBN] 
duellyde 1: [1 VBN] 
dured 1: [1 VBN] 
dwelled 3: [3 VBN] 
dwelledd 1: [1 VBN] 
dwellyd 1: [1 VBN] 
dyed 4: [4 VBN] 
dyede 3: [3 VBN] 
dyffinysshed 1: [1 VBN] 
dynyd 1: [1 VBN] 
dyskeuered 1: [1 VBN] 
dyspende 1: [1 VBN] 
dysplesyd 3: [3 VBN] 
dyspysed 1: [1 VBN] 
dysseruede 1: [1 VBN] 
dystroyede 1: [1 VBN] 
dystryte 1: [1 VBN] 
dyvydyd 1: [1 VBN] 
/*  ~E~  */
edbroke 1: [1 VBN] 
edbroken 1: [1 VBN] 
edfallen 1: [1 VBN] 
edflo+ge 1: [1 VBN] 
edholden 1: [1 VBN] 
edified 1: [1 VBN] 
edstart 1: [1 VBN] 
edstonden 1: [1 VBN] 
eetun 1: [1 VBN] 
en-cumpassed 1: [1 VBN] 
en-he+ged 1: [1 VBN] 
en-ioynede 1: [1 VBN] 
enchacede 1: [1 VBN] 
encheved 1: [1 VBN] 
enchewyd 1: [1 VBN] 
enclosed 1: [1 VBN] 
enclyned 2: [2 VBN] 
encountird 1: [1 VBN] 
ended 3: [3 VBN] 
enden 1: [1 VBN] 
endid 1: [1 VBN] 
endured 2: [2 VBN] 
enduryd 1: [1 VBN] 
endyd 1: [1 VBN] 
endyde 1: [1 VBN] 
enpoisenede 1: [1 VBN] 
enprisound 1: [1 VBN] 
enquered 1: [1 VBN] 
enspired 3: [3 VBN] 
entered 5: [5 VBN] 
entflawmed 1: [1 VBN] 
entirde 1: [1 VBN] 
entred 11: [11 VBN] 
entrede 1: [1 VBN] 
entrid 4: [4 VBN] 
envyround 1: [1 VBN] 
erende 1: [1 VBN] 
ernde 1: [1 VBN] 
erred 10: [10 VBN] 
errid 1: [1 VBN] 
errut 1: [1 VBN] 
escaped 2: [2 VBN] 
espied 1: [1 VBN] 
espyed 1: [1 VBN] 
establissched 1: [1 VBN] 
ete 9: [9 VBN] 
eten 10: [10 VBN] 
ethalden 1: [1 VBN] 
etin 2: [2 VBN] 
eton 2: [2 VBN] 
etun 2: [2 VBN] 
etyn 8: [8 VBN] 
exaltyd 1: [1 VBN] 
examynd 3: [3 VBN] 
examyned 5: [5 VBN] 
exciled 1: [1 VBN] 
excited 1: [1 VBN] 
excused 1: [1 VBN] 
excusyd 2: [2 VBN] 
exiled 1: [1 VBN] 
expounid 1: [1 VBN] 
eyttyn 1: [1 VBN] 
/*  ~F~  */
failed 1: [1 VBN] 
fall 1: [1 VBN] 
falle 10: [10 VBN] 
fallen 17: [17 VBN] 
fallyn 7: [7 VBN] 
faren 1: [1 VBN] 
fast 2: [2 VBN] 
faste 1: [1 VBN] 
fasted 1: [1 VBN] 
fastyd 1: [1 VBN] 
fayled 4: [4 VBN] 
faylede 1: [1 VBN] 
fed 4: [4 VBN] 
feffede 1: [1 VBN] 
felde 1: [1 VBN] 
feled 3: [3 VBN] 
fellyd 1: [1 VBN] 
felt 3: [3 VBN] 
felyd 1: [1 VBN] 
felyde 1: [1 VBN] 
ferd 1: [1 VBN] 
feryd 1: [1 VBN] 
fesstnedd 3: [3 VBN] 
festenede 1: [1 VBN] 
fete 1: [1 VBN] 
filledd 2: [2 VBN] 
fillid 1: [1 VBN] 
fled 4: [4 VBN] 
fledde 4: [4 VBN] 
flowe 1: [1 VBN] 
fo+gten 1: [1 VBN] 
foghten 1: [1 VBN] 
foll+ghedd 1: [1 VBN] 
follghedd 1: [1 VBN] 
folowed 3: [3 VBN] 
folowyde 1: [1 VBN] 
folwed 1: [1 VBN] 
folwyd 2: [2 VBN] 
fond 1: [1 VBN] 
fonden 1: [1 VBN] 
for+d-gon 1: [1 VBN] 
for+dfaren 1: [1 VBN] 
for+geetyn 1: [1 VBN] 
for+gete 3: [3 VBN] 
for+geten 8: [8 VBN] 
for+geton 1: [1 VBN] 
for+getyn 2: [2 VBN] 
for+geue 6: [6 VBN] 
for+geuen 3: [3 VBN] 
for+goue 1: [1 VBN] 
for+gouun 1: [1 VBN] 
for+gouyn 2: [2 VBN] 
for+gyte 1: [1 VBN] 
for+gyten 1: [1 VBN] 
for+tedd 2: [2 VBN] 
for-+geten 2: [2 VBN] 
for-+gouyn 1: [1 VBN] 
for-don 1: [1 VBN] 
for-getyn 1: [1 VBN] 
for-laten 1: [1 VBN] 
for-leten 1: [1 VBN] 
for-lokid 1: [1 VBN] 
for-saken 3: [3 VBN] 
for-sakyn 1: [1 VBN] 
forbedyn 1: [1 VBN] 
forboden 2: [2 VBN] 
forbodyn 1: [1 VBN] 
forborne 1: [1 VBN] 
forcoruen 1: [1 VBN] 
forculed 1: [1 VBN] 
fordon 2: [2 VBN] 
forfayted 1: [1 VBN] 
forgaud 1: [1 VBN] 
forgendred 1: [1 VBN] 
forgeten 1: [1 VBN] 
forgetyn 1: [1 VBN] 
forgilt 1: [1 VBN] 
forgoon 2: [2 VBN] 
forgoten 1: [1 VBN] 
forgotyn 1: [1 VBN] 
forgult 1: [1 VBN] 
forgulte 1: [1 VBN] 
forhaten 2: [2 VBN] 
forl+aten 1: [1 VBN] 
forlaten 5: [5 VBN] 
forlete 2: [2 VBN] 
forleten 12: [12 VBN] 
forleyn 2: [2 VBN] 
forlokid 1: [1 VBN] 
forloren 13: [13 VBN] 
forlorn 1: [1 VBN] 
forloron 1: [1 VBN] 
formed 2: [2 VBN] 
forrbodenn 1: [1 VBN] 
forrhoredd 1: [1 VBN] 
forrlorenn 1: [1 VBN] 
forrsakenn 1: [1 VBN] 
forrworrpenn 4: [4 VBN] 
forsacan 1: [1 VBN] 
forsak 1: [1 VBN] 
forsake 22: [22 VBN] 
forsaken 13: [13 VBN] 
forsakyn 15: [15 VBN] 
forsineged 1: [1 VBN] 
forslongen 1: [1 VBN] 
forswolhen 1: [1 VBN] 
forworpen 1: [1 VBN] 
forwur+den 1: [1 VBN] 
foryeten 1: [1 VBN] 
fostred 1: [1 VBN] 
$fotyn 1: [1 VBN] 
fou+gten 2: [2 VBN] 
fought 2: [2 VBN] 
