/*
PREFACE:  
Copyright 2010 Beth Randall
Date:  Thu Jan 13 14:05:52 CET 2022

command file:     verblex_past.q
output file:      verblex_past.out

Lexicon:  
*/

/*  ~A~  */
$+ateowde +ateowde 2: [2 VBD] 
aspyeden 1: [1 VBD] 
assaid 1: [1 VBD] 
assaidest 1: [1 VBD] 
assaied 1: [1 VBD] 
assaiede 1: [1 VBD] 
assailede 10: [10 VBD] 
assailled 1: [1 VBD] 
assaillede 2: [2 VBD] 
assayde 2: [2 VBD] 
assayed 5: [5 VBD] 
assayeth 1: [1 VBD] 
assayled 2: [2 VBD] 
assaylyd 1: [1 VBD] 
asschapyd 1: [1 VBD] 
assembled Assembled 6: [6 VBD] 
assemblede 22: [22 VBD] 
assembleden 1: [1 VBD] 
assemblyd 1: [1 VBD] 
assemblyde 1: [1 VBD] 
assented 2: [2 VBD] 
assentid 2: [2 VBD] 
assentide 3: [3 VBD] 
assentiden 1: [1 VBD] 
assentidist 1: [1 VBD] 
assentude 1: [1 VBD] 
asseylede 1: [1 VBD] 
assigned 4: [4 VBD] 
assignede 3: [3 VBD] 
assined 1: [1 VBD] 
assoiled 3: [3 VBD] 
assoyled 3: [3 VBD] 
assoylede 1: [1 VBD] 
assygnyde 1: [1 VBD] 
assyned 1: [1 VBD] 
assyngned 1: [1 VBD] 
assytyd 1: [1 VBD] 
astah 1: [1 VBD] 
astalde 2: [2 VBD] 
asteh 3: [3 VBD] 
asterde 1: [1 VBD] 
astranglede 1: [1 VBD] 
astrehte 1: [1 VBD] 
astu+gen 1: [1 VBD] 
aswond 1: [1 VBD] 
atlai 1: [1 VBD] 
$atrine+d 1: [1 VBD] 
att 1: [1 VBD] 
attrann 1: [1 VBD] 
atywede 1: [1 VBD] 
auauncede 1: [1 VBD] 
auaunsede 1: [1 VBD] 
auayled 1: [1 VBD] 
auenede 1: [1 VBD] 
auffisede 1: [1 VBD] 
aunswerde 3: [3 VBD] 
aunswerdist 1: [1 VBD] 
aunsweryd 1: [1 VBD] 
auntred 1: [1 VBD] 
auoued 1: [1 VBD] 
auoyded 1: [1 VBD] 
aute 1: [1 VBD] 
auyseden 1: [1 VBD] 
availed 3: [3 VBD] 
availede 3: [3 VBD] 
avaunced 1: [1 VBD] 
avaunsed 1: [1 VBD] 
avaunset 1: [1 VBD] 
avayled 1: [1 VBD] 
avengede 1: [1 VBD] 
aventryd 1: [1 VBD] 
avised 2: [2 VBD] 
avowed 2: [2 VBD] 
avowid 1: [1 VBD] 
avoyded 1: [1 VBD] 
avoydyd 1: [1 VBD] 
avysed 2: [2 VBD] 
awacnede 1: [1 VBD] 
awaked 1: [1 VBD] 
awakede 2: [2 VBD] 
