/*
PREFACE:  
Copyright 2010 Beth Randall
Date:  Thu Jan 13 15:41:28 CET 2022

command file:     verblex_present.q
output file:      verblex_present.out

Lexicon:  
*/

/*  ~A~  */
arryuen 3: [3 VBP] 
arryueth 1: [1 VBP] 
art Art $art $Art 423: [422 BEP] [1 VBP] 
arte Arte 62: [62 BEP] 
arysen 2: [2 VBP] 
asaile+d 1: [1 VBP] 
asaille+d 5: [5 VBP] 
asayle+t 3: [3 VBP] 
ascapen 1: [1 VBP] 
ascapith 1: [1 VBP] 
ascende 1: [1 VBP] 
ascendes 1: [1 VBP] 
ascendith 5: [5 VBP] 
asche 1: [1 VBP] 
ascherche+t 1: [1 VBP] 
aschine+d 1: [1 VBP] 
aschueth 1: [1 VBP] 
ascke 1: [1 VBP] 
$ascunigen 1: [1 VBP] 
ascuse 1: [1 VBP] 
ashes 1: [1 VBP] 
aske 37: [37 VBP] 
aske+d 6: [6 VBP] 
aske+t 8: [8 VBP] 
askedist 1: [1 VBP] 
asken 10: [10 VBP] 
askes 9: [9 VBP] 
askest 5: [5 VBP] 
asketh 3: [3 VBP] 
aski+d 4: [4 VBP] 
askis 5: [5 VBP] 
askist 2: [2 VBP] 
askith 5: [5 VBP] 
asky+te 2: [2 VBP] 
askyn 1: [1 VBP] 
askys 1: [1 VBP] 
askyst 1: [1 VBP] 
askyth 5: [5 VBP] 
aslaky 1: [1 VBP] 
asnese+d 1: [1 VBP] 
asoile 1: [1 VBP] 
asoiles 1: [1 VBP] 
asoyle 1: [1 VBP] 
aspenen 1: [1 VBP] 
aspewe+d 1: [1 VBP] 
aspie+t 3: [3 VBP] 
aspilla+d 1: [1 VBP] 
aspyen 1: [1 VBP] 
assaile+t 1: [1 VBP] 
assaille+d 1: [1 VBP] 
assayen 1: [1 VBP] 
assaylen 1: [1 VBP] 
assayly+t 1: [1 VBP] 
assayth 1: [1 VBP] 
asschape+t 1: [1 VBP] 
assemble 2: [2 VBP] 
assemble+t 1: [1 VBP] 
assemblen 1: [1 VBP] 
assent 1: [1 VBP] 
assente 6: [6 VBP] 
assenti+t 3: [3 VBP] 
assenty+t 1: [1 VBP] 
assh 1: [1 VBP] 
assoyle 3: [3 VBP] 
assoyle+t 1: [1 VBP] 
assoylen 4: [4 VBP] 
assoylu+t 2: [2 VBP] 
asspie+t 1: [1 VBP] 
assure 1: [1 VBP] 
assureth 1: [1 VBP] 
asswage 1: [1 VBP] 
asteorue+d 1: [1 VBP] 
asti+ge 1: [1 VBP] 
astigh+d 1: [1 VBP] 
astih+g+d 1: [1 VBP] 
astore+t 1: [1 VBP] 
astrangle+t 1: [1 VBP] 
astru+ge+d 1: [1 VBP] 
astru+t 1: [1 VBP] 
aswage+t 1: [1 VBP] 
at-ga+d 1: [1 VBP] 
atbreste+d 1: [1 VBP] 
ate+d 1: [1 VBP] 
atempreth 1: [1 VBP] 
atemprith 1: [1 VBP] 
atend 1: [1 VBP] 
atende 1: [1 VBP] 
atent 2: [2 VBP] 
athalde+d 1: [1 VBP] 
athalt 1: [1 VBP] 
athelde 1: [1 VBP] 
atiere+d 1: [1 VBP] 
atifi 1: [1 VBP] 
attayne 1: [1 VBP] 
attayneth 1: [1 VBP] 
attendis 1: [1 VBP] 
atteynest 1: [1 VBP] 
attre+d 2: [2 VBP] 
attrest 1: [1 VBP] 
$attrie+d 1: [1 VBP] 
atwyt 1: [1 VBP] 
auance 2: [2 VBP] 
auantis 1: [1 VBP] 
auaunten 1: [1 VBP] 
auauntez 1: [1 VBP] 
auealle+d 1: [1 VBP] 
auele+d 1: [1 VBP] 
auelen 1: [1 VBP] 
auen 2: [2 HVP] 
auet 1: [1 HVP] 
auh 1: [1 VBP] 
auint 1: [1 VBP] 
auoidith 1: [1 VBP] 
auonce+t 1: [1 VBP] 
auyse 1: [1 VBP] 
availes 1: [1 VBP] 
availle 1: [1 VBP] 
availlen 3: [3 VBP] 
availleth 5: [5 VBP] 
avaunsu+te 1: [1 VBP] 
avaunten 1: [1 VBP] 
avayles 2: [2 VBP] 
avayleth 3: [3 VBP] 
aventure 1: [1 VBP] 
avise 1: [1 VBP] 
avowe 1: [1 VBP] 
avoyde 1: [1 VBP] 
awake+t 1: [1 VBP] 
awakene+d 7: [7 VBP] 
awarpe+d 1: [1 VBP] 
awe 2: [2 VBP] 
awec+d 1: [1 VBP] 
aweige+d 1: [1 VBP] 
awelt 1: [1 VBP] 
awerpe+d 1: [1 VBP] 
aweste+d 1: [1 VBP] 
awh 1: [1 VBP] 
