Text_name;sentence;TAM;Origin;Word_length;Transitivity
CMAELR3-M23;36.311;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;37.318;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;37.319;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;37.319;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;37.321;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;37.322;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;37.322;%spl_present;%romance;3%;%transitive
CMAELR3-M23;37.324;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;37.324;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;37.324;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;37.325;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;37.326;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;37.328;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;37.33;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;37.332;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;37.332;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;37.332;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;37.333;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;37.333;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;37.335;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;37.336;%spl_present;%romance;1%;%intransitive
CMAELR3-M23;37.337;%spl_present;%germanic;2%;%transitive
CMAELR3-M23;38.339;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;38.341;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;38.341;%spl_present;%romance;2%;%transitive
CMAELR3-M23;38.342;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;38.344;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;38.346;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;38.348;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;38.351;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;38.354;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;38.359;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;38.359;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;38.364;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;38.364;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;38.365;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;38.365;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;38.367;%spl_present;%romance;2%;%transitive
CMAELR3-M23;38.368;%spl_present;%romance;3%;%transitive
CMAELR3-M23;38.373;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;38.373;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;39.383;%spl_present;%romance;2%;%prep_intransitive
CMAELR3-M23;39.385;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;39.39;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;39.39;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;39.393;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;39.394;%spl_present;%germanic;2%;%transitive
CMAELR3-M23;39.397;%spl_present;%germanic;2%;%transitive
CMAELR3-M23;40.4;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;40.405;%spl_present;%romance;1%;%transitive
CMAELR3-M23;40.414;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;41.431;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;41.441;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;41.447;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;41.447;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;41.451;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;41.452;%spl_present;%germanic;2%;%transitive
CMAELR3-M23;41.456;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;42.465;%spl_present;%romance;1%;%transitive
CMAELR3-M23;42.475;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;42.477;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;42.477;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;42.478;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;42.481;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;42.489;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;43.493;%spl_present;%romance;2%;%transitive
CMAELR3-M23;43.495;%spl_present;%germanic;2%;%transitive
CMAELR3-M23;43.497;%spl_present;%germanic;2%;%intransitive
CMAELR3-M23;43.499;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;43.507;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;43.508;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;43.509;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;43.51;%spl_present;%romance;1%;%intransitive
CMAELR3-M23;43.51;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;43.512;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;43.513;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;43.52;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;43.52;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;43.52;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;43.521;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;44.524;%spl_present;%germanic;2%;%intransitive
CMAELR3-M23;44.531;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;44.54;%spl_present;%romance;1%;%transitive
CMAELR3-M23;44.541;%spl_present;%romance;3%;%intransitive
CMAELR3-M23;44.543;%spl_present;%romance;2%;%intransitive
CMAELR3-M23;44.544;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;44.545;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;44.547;%spl_present;%romance;1%;%intransitive
CMAELR3-M23;44.547;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;44.549;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;45.566;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;45.567;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;45.572;%spl_present;%germanic;1%;%prep_intransitive
