/*
PREFACE:  
Copyright 2010 Beth Randall
Date:  Wed May 19 10:58:09 BRT 2021

command file:     verblex4.q
output file:      ../output_files/verblex4.out

Lexicon:  
*/

/*  ~A~  */
follewyng 1: [1 VAG] 
followynge 2: [2 VAG] 
folouand 1: [1 VAG] 
folowand 6: [6 VAG] 
folowande 1: [1 VAG] 
folowing 1: [1 VAG] 
folowyng 16: [16 VAG] 
folowynge 27: [27 VAG] 
folwyng 19: [19 VAG] 
folwynge 5: [5 VAG] 
for 1: [1 VAG21] 
for+getyng 1: [1 VAG] 
for-fetand 1: [1 VAG] 
for-sakand 1: [1 VAG] 
forbedyng 1: [1 VAG] 
forgevynge 1: [1 VAG] 
forgifand 1: [1 VAG] 
forsakinge 1: [1 VAG] 
forsakyng 1: [1 VAG] 
forsakynge 1: [1 VAG] 
forseande 1: [1 VAG] 
forsweryng 1: [1 VAG] 
fresyngge 1: [1 VAG] 
fructifiand 1: [1 VAG] 
fulfilland 1: [1 VAG] 
fulfillynde 1: [1 VAG] 
fuliende 1: [1 VAG] 
fullfillande 1: [1 VAG] 
fullynge-stafe 1: [1 VAG+N] 
fyghtyng 2: [2 VAG] 
fyghtynge 4: [4 VAG] 
fylland 1: [1 VAG] 
fyschyng 1: [1 VAG] 
fytyng 2: [2 VAG] 
/*  ~G~  */
+garenande 1: [1 VAG] 
+geinde 1: [1 VAG] 
+geldyng 1: [1 VAG] 
+geldynge 2: [2 VAG] 
+gellynge 1: [1 VAG] 
+geoninde 2: [2 VAG] 
+geonyng 1: [1 VAG] 
+geuand 1: [1 VAG] 
+geuing 1: [1 VAG] 
+geuyng 11: [11 VAG] 
+geuynge 1: [1 VAG] 
+gevyng 2: [2 VAG] 
+gichinde 1: [1 VAG] 
+gifand 1: [1 VAG] 
+giuing 1: [1 VAG] 
+gonge 1: [1 VAG] 
+gurinde 1: [1 VAG] 
+gyuynge 1: [1 VAG] 
+gyuyngge 1: [1 VAG] 
+gyvyngge 1: [1 VAG] 
gaderand 1: [1 VAG] 
gaderyng 1: [1 VAG] 
galpyng 1: [1 VAG] 
gan 1: [1 VAG] 
gangand 2: [2 VAG] 
gangande 1: [1 VAG] 
gangende 1: [1 VAG] 
gapand 1: [1 VAG] 
gapynge 1: [1 VAG] 
gastyngge 1: [1 VAG] 
gawrinde 1: [1 VAG] 
gederen 1: [1 VAG] 
gederin 1: [1 VAG] 
gederinde 1: [1 VAG] 
genderynge 1: [1 VAG] 
getynge 2: [2 VAG] 
gladand 2: [2 VAG] 
gladeand 1: [1 VAG] 
gladyngge 1: [1 VAG] 
gleaminde 1: [1 VAG] 
glediynde 1: [1 VAG] 
gleowinde 1: [1 VAG] 
glidende 1: [1 VAG] 
glistende 1: [1 VAG] 
glistinde 3: [3 VAG] 
gllistinde 1: [1 VAG] 
glosyng 2: [2 VAG] 
glowennde 2: [2 VAG] 
glowyng 1: [1 VAG] 
gnastyng 1: [1 VAG] 
goand 3: [3 VAG] 
goenge 1: [1 VAG] 
going 2: [2 VAG] 
gouerande 1: [1 VAG] 
gouernynde 1: [1 VAG] 
gouernynge 1: [1 VAG] 
gouernyngge 1: [1 VAG] 
govynge 1: [1 VAG] 
goyn 1: [1 VAG] 
goyng 24: [24 VAG] 
goynge GOYNGE 21: [21 VAG] 
granand 1: [1 VAG] 
$graninde 1: [1 VAG] 
grauntynge 1: [1 VAG] 
gravynge 1: [1 VAG] 
grawntyng 2: [2 VAG] 
grennyng 1: [1 VAG] 
gretand 1: [1 VAG] 
gretyng 2: [2 VAG] 
gretynge 1: [1 VAG] 
greuching 1: [1 VAG] 
gronyng 2: [2 VAG] 
growynde 1: [1 VAG] 
growyng 2: [2 VAG] 
growynge 7: [7 VAG] 
gruchande 3: [3 VAG] 
gruchyng 1: [1 VAG] 
grucinde 1: [1 VAG] 
grutchyng 1: [1 VAG] 
grymmyng 1: [1 VAG] 
gryntyngge 1: [1 VAG] 
gurdyngge 1: [1 VAG] 
gyvyng 1: [1 VAG] 
/*  ~H~  */
haffande 1: [1 HAG] 
haldande 2: [1 VAG] [1 VAG22] 
halewende 1: [1 VAG] 
halewinde 4: [4 VAG] 
halowynge 1: [1 VAG] 
halsinde 1: [1 VAG] 
halsynge 1: [1 VAG] 
halwende 5: [5 VAG] 
halyng 1: [1 VAG] 
hanging 2: [2 VAG] 
hanginge 1: [1 VAG] 
hangyn 1: [1 VAG] 
hangyng 5: [5 VAG] 
hangynge 6: [6 VAG] 
hastyng 1: [1 VAG] 
hatand 3: [3 VAG] 
hatend 1: [1 VAG] 
hatiende 1: [1 VAG] 
hatynge 1: [1 VAG] 
hauand 1: [1 HAG] 
hauende 1: [1 HAG] 
hauyng 38: [38 HAG] 
hauynge 9: [9 HAG] 
hauyngge 2: [2 HAG] 
havand 4: [4 HAG] 
havinge 1: [1 HAG] 
havyng 2: [2 HAG] 
havynge 10: [10 HAG] 
he+gand 1: [1 VAG] 
heeldyng 1: [1 VAG] 
heeringe 1: [1 VAG] 
heeryng 1: [1 VAG] 
heiende 1: [1 VAG] 
heldand 1: [1 VAG] 
heldande 1: [1 VAG] 
heldyng 4: [4 VAG] 
helinge 1: [1 VAG] 
helpinde 4: [4 VAG] 
helpyng 5: [5 VAG] 
helpynge 1: [1 VAG] 
helynge 1: [1 VAG] 
herand 2: [2 VAG] 
hercnede 1: [1 VAG] 
heriand Heriand 2: [2 VAG] 
heriende 6: [6 VAG] 
herinde 1: [1 VAG] 
hering 1: [1 VAG] 
heryenge 1: [1 VAG] 
heryng 17: [17 VAG] 
herynge 4: [4 VAG] 
heryngge 1: [1 VAG] 
heryyng 1: [1 VAG] 
hlystinde 1: [1 VAG] 
holdun 1: [1 VAG] 
holdyng 4: [4 VAG] 
holdynge 6: [6 VAG] 
honggyng 1: [1 VAG] 
honginde 1: [1 VAG] 
hongyng 7: [7 VAG] 
hopand 3: [3 VAG] 
hoppyngge 1: [1 VAG] 
hopyng 5: [5 VAG] 
hovynge 2: [2 VAG] 
hungerand 2: [2 VAG] 
hurtande 1: [1 VAG] 
hweolinde 2: [2 VAG] 
hwilinde 3: [3 VAG] 
hydynge 1: [1 VAG] 
hyeng 1: [1 VAG] 
hyngande 1: [1 VAG] 
hynggyng 1: [1 VAG] 
hyryng 1: [1 VAG] 
hyrynge 1: [1 VAG] 
/*  ~I~  */
ibreinde 1: [1 VAG] 
ierniende 1: [1 VAG] 
ierninde 3: [3 VAG] 
ilefde 1: [1 VAG] 
ilefede 1: [1 VAG] 
ilestende 1: [1 VAG] 
inbrasyng 1: [1 VAG] 
incresyng 1: [1 VAG] 
incresynge 1: [1 VAG] 
inlastande 1: [1 VAG] 
inquiring 1: [1 VAG] 
inqwyryng 1: [1 VAG] 
intendand 1: [1 VAG] 
inwuniende 1: [1 VAG] 
ioiand 2: [2 VAG] 
ioyand 1: [1 VAG] 
ioyande 1: [1 VAG] 
ioyeande 1: [1 VAG] 
iugeand 1: [1 VAG] 
/*  ~J~  */
joustenynge 1: [1 VAG] 
/*  ~K~  */
kastand 1: [1 VAG] 
kenchinde 1: [1 VAG] 
kenning 1: [1 VAG] 
keoruinde 1: [1 VAG] 
kepand 4: [4 VAG] 
keping 3: [3 VAG] 
kepyng 6: [6 VAG] 
kepynge 5: [5 VAG] 
keruinde 1: [1 VAG] 
kervyng 1: [1 VAG] 
kervynge 1: [1 VAG] 
kestand 1: [1 VAG] 
kissyngge 1: [1 VAG] 
knauynge 1: [1 VAG] 
knawande 2: [2 VAG] 
knawynge 1: [1 VAG] 
kneleand 1: [1 VAG] 
knelyng 16: [16 VAG] 
knelynge 2: [2 VAG] 
knowand 1: [1 VAG] 
knowelechynge 1: [1 VAG] 
knowlachyng 1: [1 VAG] 
knowlechyng 1: [1 VAG] 
knowyng 10: [10 VAG] 
knowynge 4: [4 VAG] 
komyng 1: [1 VAG] 
konnynge 1: [1 VAG] 
krepyng 1: [1 VAG] 
kunnyng 1: [1 VAG] 
kunnynge 2: [2 VAG] 
kyissyng 1: [1 VAG] 
kyssyng 1: [1 VAG] 
/*  ~L~  */
lackyng 1: [1 VAG] 
lackynge 2: [2 VAG] 
ladand 1: [1 VAG] 
laghyng 1: [1 VAG] 
lahhinde 1: [1 VAG] 
lahinde 2: [2 VAG] 
lakkyng 1: [1 VAG] 
lakkynge 1: [1 VAG] 
langande 1: [1 VAG] 
langourande 1: [1 VAG] 
languessande 1: [1 VAG] 
langwyssande 1: [1 VAG] 
lastand 8: [8 VAG] 
lastande 5: [5 VAG] 
lastend 1: [1 VAG] 
lastynge 2: [2 VAG] 
lawand 1: [1 VAG] 
lawhyng 2: [2 VAG] 
laysshyng 1: [1 VAG] 
laysshynge 1: [1 VAG] 
leapinde 3: [2 VAG] [1 VAG22] 
leastinde 1: [1 VAG] 
ledand 1: [1 VAG] 
ledyng 5: [5 VAG] 
ledynge 4: [4 VAG] 
leesinge 1: [1 VAG] 
leeuynge 2: [2 VAG] 
lei+ginde 1: [1 VAG] 
leitinde $leitinde 6: [6 VAG] 
lenynde 1: [1 VAG] 
lenyng 3: [3 VAG] 
lerand 2: [2 VAG] 
lernyng 2: [2 VAG] 
lernynge 1: [1 VAG] 
lestende $lestende 2: [2 VAG] 
lestinde 2: [2 VAG] 
lestynde 1: [1 VAG] 
lettande 1: [1 VAG] 
lettyng 3: [3 VAG] 
lettynge 1: [1 VAG] 
leueand 1: [1 VAG] 
leuyng 18: [18 VAG] 
leuynge 2: [2 VAG] 
levynge 1: [1 VAG] 
leytyngge 1: [1 VAG] 
li+gtenand 1: [1 VAG] 
li+gtnynge 1: [1 VAG] 
